275.5,10,300,20,0,-8.639,-20.3,-18.067
75.4,10,20,20,0,-16.3,0,0
300,300,196,20,0,-16.3,0,-20.3
194.3,10,300,99,10,-16.3,0,-20.3
300,10,154,84.6,10,-16.3,-20.3,0
10,300,300,20,0,-16.3,-20.3,-16.646
46.4,300,162.4,20,10,-0.652,0,0
300,124.7,300,200,10,-8.15,0,0
255.2,229.1,20,200,10,-20.3,-19.894,0
147.9,300,142.8,95.4,5,-8.476,-11.368,-10.556
10,300,44.8,41.4,0,-16.3,-8.12,-20.3
300,127.6,252,20,5,-16.3,-2.03,-11.977
63.8,10,300,64.8,0,0,-20.3,-5.075
300,300,300,131.4,0,0,0,-10.759
145,142.1,154,90,5,-7.987,-10.962,-9.947
300,10,300,200,10,0,-20.3,-3.451
142.1,142.1,154,88.2,5,-8.15,-10.962,-9.947
300,300,20,200,10,0,-10.556,-16.443
121.8,300,300,20,10,-16.3,-8.12,0
300,10,271.6,14.4,10,-3.749,-8.323,0
255.2,10,20,20,6,-11.573,-16.24,0
10,69.6,240.8,20,0,-16.3,-17.661,-20.3
300,147.9,300,109.8,4,0,-9.947,-20.3
300,145,156.8,200,0,0,-20.3,0
300,147.9,300,109.8,4,0,-9.947,-20.3
10,10,196,171,0,0,-20.3,-1.624
10,10,154,200,10,-16.3,-11.571,-11.368
10,300,162.4,25.2,10,-11.247,-20.3,-20.3
95.7,10,300,200,5,0,-7.714,0
10,10,300,73.8,0,-16.3,0,0
10,10,300,20,10,0,0,-11.571
300,10,30.8,200,0,-16.3,-4.872,-17.052
300,840,78.4,20,10,-6.194,-11.571,-2.03
10,300,20,46.8,4,0,-9.541,-12.383
10,139.2,20,200,0,0,0,-10.962
10,10,20,99,10,0,-6.699,-20.3
300,10,20,12.6,3,-16.3,-20.3,-20.3
300,10,20,200,9,-16.3,-15.022,-20.3
145,142.1,154,90,5,-7.987,-10.962,-9.947
300,300,300,200,0,-16.3,0,-12.18
147.9,95.7,154,104.4,0,-6.357,0,-9.135
142.1,300,151.2,200,10,0,0,-1.015
145,142.1,154,90,5,-7.987,-10.962,-9.947
300,300,300,200,6,-16.3,-20.3,-11.571
10,194.3,300,99,10,0,-20.3,0
275.5,10,20,169.2,0,0,-20.3,-20.3
10,203,300,20,4,-6.357,0,-20.3
300,10,20,200,10,-16.3,-1.015,0
10,275.5,300,171,10,-16.3,0,-7.308
165.3,98.6,20,20,6,0,-20.3,-7.714
147.9,300,50.4,200,3,-16.3,0,0
300,300,20,91.8,10,-14.996,0,-11.368
10,300,300,200,0,-6.031,-3.045,0
165.3,124.7,300,200,0,-16.3,-12.992,-20.3
300,10,238,20,0,0,-2.03,-20.3
81.2,168.2,53.2,64.8,0,-16.3,-20.3,0
145,142.1,154,88.2,5,-7.987,-10.962,-9.947
153.7,156.6,20,200,10,-16.3,-20.3,-20.3
145,142.1,154,90,5,-7.987,-10.962,-9.947
10,110.2,95.2,95.4,8,-11.247,0,0
92.8,10,20,20,0,-6.846,0,-20.3
10,300,20,20,10,-15.485,-20.3,0
133.4,10,20,20,10,-16.3,0,-11.774
10,10,20,171,0,-10.758,-20.3,-15.428
300,300,20,20,6,0,0,-20.3
300,10,72.8,200,5,-9.291,0,-20.3
300,217.5,20,20,0,-9.454,-8.526,0
300,300,128.8,20,7,0,-20.3,0
10,10,100.8,20,0,0,-13.398,0
300,300,300,10.8,10,-11.247,-18.067,-20.3
124.7,10,20,200,10,-3.749,-20.3,0
147.9,300,142.8,95.4,5,-8.476,-11.368,-10.556
10,203,20,200,3,-16.3,-4.06,-20.3
300,10,20,64.8,5,0,0,0
121.8,300,300,20,0,0,-20.3,-20.3
10,300,196,200,5,-0.326,-20.3,-20.3
10,10,20,102.6,3,-14.833,0,-20.3
10,10,300,20,8,-14.507,-20.3,-20.3
275.5,300,20,200,0,-6.194,-19.488,-20.3
118.9,10,300,171,3,-16.3,-20.3,0
